,Platform,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Description,URL
10,nes,Addams Family,"January 1, 1992",Everyone,Ocean,Ocean,Platformer,020295010034,8455,"The Addams Family has been evicted! To save their home from Tully Alford, the family attorney, who is after family fortune – Morticia, Lurch, Granny, Pugsley and Wednesday have all gone to the house to reason with him. But when Gomez arrives, his family is missing! As Gomez, you must save your loved ones, your home and your loads of wealth. Freeing your family will take money, bags and bags of it; but fortunately, you’ll find stashes of cash hidden all over the house. You’ll have to watch out for scary obstacles like falling spikes, frightening monsters and ghosts. You’ll need to look for clues and solve many mysterious puzzles as you search for your family. You may even need some Thing to help you – but you’ll have to find him first! Get a move on… ‘cause you’re gonna make a call on THE ADDAMS FAMILY!",https://www.pricecharting.com/game/nes/addams-family
11,nes,Addams Family Pugsley's Scavenger Hunt,"August 1, 1993",Everyone,Ocean,Enigma Variations,Platformer,020295010072,8456,"Darling little Pugsley has lost his family to kidnappers who have hidden them as prisoners in their own spooky home. Only lovable little Pugsley can rescue them by hunting for delightfully strange items located in secret spots in their weird mansion. What oddities and atrocities await him! There are twisted creatures and complex features at every turn of the task.
If precious little Pugsley is able, he'll find and rescue Gomez, Granny, Wednesday and Uncle Fester and see them to the music room. Each one holds a piece of the unnaturally lovely music which Lurch must play to unlock the secret passage leading to Morticia.
Pugsley's only helper is the charmingly bizarre Thing, who brings him startling messages to help him along.
So get ready to get spooky and get set to get kooky... it's Pugsley's Scavenger Hunt!",https://www.pricecharting.com/game/nes/addams-family-pugsley%27s-scavenger-hunt
12,nes,Advanced Dungeons & Dragons Dragon Strike,"July 1, 1992",none,Pony Canyon,Westwood Associates,Action & Adventure,022909100155,8458,"Wicked dragon armies threaten the good people of Ansalon. There’s only one defense…fight dragons with dragons! Command your winged warrior to fly off and challenge enemy beasts in a tooth-and-claw battle high above Krynn. It’s awesome airborne fantasy action in the AD&D game tradition! Engage in exciting dragon-to-dragon combat. Control breathtaking on-screen airborne battles. Choose from 3 types of dragons: Bronze, Silver and Gold. Attack with potent breath weapons like paralyzing gas, lightning and fireballs. Fly at your choice of 2 altitudes. Play alone or against an opponent. Uses power-packed 2+2 megabit memory chip",https://www.pricecharting.com/game/nes/advanced-dungeons-&-dragons-dragon-strike
13,nes,Advanced Dungeons & Dragons Heroes of the Lance,"January 1, 1991",Everyone,"FCI, Inc.",Natsume,RPG,022909100100,8459,"At last! You can play the first Official ADVANCED DUNGEONS & DRAGONS action game made for the Nintendo Entertainment System! HEROES OF THE LANCE is based on the Dragons of Despair DRAGONLANCE module, placing you in control of eight fantasy characters. Guide your brave companions through their adventures as they encounter dragons and dwarves...magic monsters, in their quest for the precious Disks of Mishakal. The fate of the world of Krynn is in your hands! Vanquish the ancient black dragon Khisanth or you are doomed to failure!
-	Action-packed animated graphic
-	Eight characters, each with different attributes and skills
-	Fight giant spiders, Gully Dwarves, dragons and monstrous Draconians
-	Defend yourself with magic and an arsenal of weapons",https://www.pricecharting.com/game/nes/advanced-dungeons-&-dragons-heroes-of-the-lance
14,nes,Advanced Dungeons & Dragons Hillsfar,"February 1, 1993",none,FCI,SSI,RPG,022909100162,8460,"Direct your charger into the walled city of Hillsfar for fast battle action and challenging fantasy adventure! Hillsfar has been invaded by Maalthir, the self-proclaimed First Lord, who rules the region with his powerful magic and his ruthless guards, the Red Plumes. In the AD&D game tradition, you must make many choices in the roles you play. Each profession has its own missions. Intelligence must guide your characters with dexterity and charm to battle minotaurs, orcs and armed guards; test your skills in the gladiators’ coliseum or archery range.",https://www.pricecharting.com/game/nes/advanced-dungeons-&-dragons-hillsfar
15,nes,Advanced Dungeons & Dragons Pool of Radiance,"April 1, 1992",Mature,FCI,Marionette,RPG,022909100131,8462,"The city of Phlan lies in ruins. Your band of adventurers can help to rebuild the once-proud city and restore it to its former glory. Along the way you hope to find the legendary Pool of Radiance, said to glow with its own mystical power. Does it really give tremendous strength to the warrior who bathes in its magic waters? Or is that just an elfin myth? Before you meet the challenges ahead you must set off on your glorious quest to drive out the monsters and let civilization reign once more! FANTASY ROLE PLAYING ADVENTURE!
-	Based on an Internationally-known official AD&D PC game
-	Hundreds of characters, human and inhuman
-	Informative adventurer’s journal built into game
-	More than 200 hours of play
-	3-dimensional, 1st person view of graphically intense screens
-	The definitive role playing game
-	Over 4 Megs of playing power
-	Long life lithium battery saves play positions",https://www.pricecharting.com/game/nes/advanced-dungeons-&-dragons-pool-of-radiance
16,nes,Adventure Island,"September 1, 1988",Everyone,Hudson,Hudson,Action & Adventure,039854000010,8464,"You just found out that Princess Leilani was kidnapped by the Evil Witch Doctor and taken to Adventure Island in the South Pacific. You land on Adventure Island without weapons or food. The island is thick with tropical forest, mountains and caves. Hidden on the island are your skateboard, axe, food and other helpful tools you must find by exploring the island. Better find the weapons and food quickly because you will need them to fight the Witch Doctor's spiders, snakes, bats and demons. The Evil Witch Doctor has set lots of traps for you before you can face him one on one. Are you up for the challenge?! Can you live through Adventure Island to save Princess Leilani?!",https://www.pricecharting.com/game/nes/adventure-island
17,nes,Adventure Island 3,"September 1, 1992",Everyone,Hudson Soft,Now Production,Platformer,039854000195,12176,"What's a hero to do? A mysterious flying saucer just made off with Master Higgins' girlfriend and it's up to him to save her! But first he must defeat scores of mutated monsters across eight uncharted islands! Fly a dive-bombing pterodactyl or ride under the waves on a sea serpent in search of the missing Jeannie Jungle! Battle your way through all new dangers and challenges on the biggest Adventure Island yet! Find secret treasure chambers, surf through killer waves and grab all the bonus items you can handle as you master each realm! Action, adventure and more await you in this thrilling addition to the Adventure Island saga!",https://www.pricecharting.com/game/nes/adventure-island-3
18,nes,Adventure Island II,"February 1, 1991",Everyone,Hudson Soft,Now Production,Platformer,039854000102,8465,"Soar into action with ADVENTURE ISLAND II. That Evil Witch Doctor's just snatched your favorite lady. And you've got to battle your way past EIGHT treacherous islands to get her back! Combat prehistoric monsters -- some of the creepiest, fire spitting critters ever to slither across a video screen! Survive molten volcanoes. Dodge giant scorpions and king cobras. And the action gets even crazier with a new vertical/horizontal scroll. While stage select lets you control play. So sharpen your axe, slip on a leopard skin, and take off for ADVENTURE ISLAND II. It's gonna be a wild ride!!!",https://www.pricecharting.com/game/nes/adventure-island-ii
19,nes,Adventures in the Magic Kingdom,"June 1, 1990",Everyone,Capcom,Capcom,Action & Adventure,013388110186,8466,"This is your ticket to breath-taking Adventures in the Magic Kingdom!
	Join the exciting adventure as you search through the Magic Kingdom for the six silver keys that will unlock the Enchanted Castle. Use all your skills and resources to achieve your goal.
	Answer Disney trivia questions to gain access to the attractions.
	Become the engineer of a runaway train in Big Thunder Mountain.
	Race Autopia cars through a maze of obstacles.
	Don your sea-faring garb as you tangle with the swarthy buccaneers of Pirates of the Caribbean.
	Hurl yourself into the Black Holes of Space Mountain.
	Grab a silver key from the ghoulish inhabitants of the Haunted Mansion.
	What other adventures await you in the Magic Kingdom? You’ll just have to find out for yourself!",https://www.pricecharting.com/game/nes/adventures-in-the-magic-kingdom
20,nes,Adventures of Bayou Billy,"June 1, 1989",Everyone,Konami,Konami,Beat'em Up,083717110132,8468,"You're a ragin' Cajun on the tail of a swamp rat. For the first time ever, three of the most awesome action video experiences explode into one mean swamp stompin' adventure.
From zappin' mobsters and wrestlin' gators in muddy marshes, to chasin' through the streets of New Orleans, drivin' and a shootin' in your road huggin' four wheel drive doom machine, you're up against it all!
'Cause that gangster king of Bourbon Street has snatched your best girl - pretty little Annabelle, the sweetest honey around - and run her off to his heavily armed estate, a plantation filled with perils and pitfalls.
So muster up courage and sharpen your foot long blade. It's time to go huntin'. But if you ain't careful, the prey will eat you alive - I Gar-Ron-Tee!",https://www.pricecharting.com/game/nes/adventures-of-bayou-billy
21,nes,Adventures of Dino Riki,"August 1, 1989",Everyone,Hudson Soft,Hudson Soft,Shoot'em Up,039854000058,12175,"In pre-historic times, where ancient dinosaur creatures ruled, the adventures of Dino-Riki began. A courageous and intelligent young man, Dino-Riki, is determined to establish mankind's future in this violent age. Dino-Riki must explore and fight his way through deserts filled with quicksand, sinking lotus swamps, dark caverns, and deep canyons. As Dino-Riki begins his adventure, he is armed with a shooting weapon that will change and progress from rocks to axes, from axes to boomerangs, from boomerangs to fiery torches by collecting [image of fist]. There are many hidden items that will help Dino-Riki to increase strength [image of food], life [image of heart], fly like an eagle [image of dove?], one that will change Dino-Riki to ""Macho-Riki"" [image of man], the ancient warrior, and many more. Dino-Riki will need all the ancient knowledge and items he can find before facing the dinosaur bosses: Tyrannosaurus, Pteranodon, Monster Fly, and Giant Cobra.",https://www.pricecharting.com/game/nes/adventures-of-dino-riki
22,nes,Adventures of Lolo,"April 20, 1989",none,HAL America,HAL Laboratory,Action & Adventure,040458011050,11979,"Prince Lolo of Gentryland visited Eden, a country of Love and Peace, and enjoyed many pleasant days with Princess Lala of Eden. But one day, Egger, the King of Darkness, who had an evil plot to conquer Eden, spirited the Princess away before Lolo's eyes. After a long and difficult journey, Lolo has come to the evil Castle of the Labyrinth. The castle is guarded by an army of evil monsters led by Egger, the King of Darkness. Can Lolo solve the seemingly endless series of mazes and save Lala? Lolo is not gifted with strength or agility, but has great courage and patience. Now the battle of wits begins. Good luck, Lolo!",https://www.pricecharting.com/game/nes/adventures-of-lolo
23,nes,Adventures of Lolo 2,"March 20, 1990",none,HAL Laboratory,HAL Laboratory,Puzzle,"011081040458,040458011081",11980,"Our Hero Lolo has charmed and enchanted puzzle-loving game players around the world with his unfailing courage and plucky persistence -- and now he's off for his second quest! Join forces with Lolo and his faithful side-kick Lala for another journey full of puzzles and pitfalls. The whole crew is back -- Snakey, Leeper, Medusa, Gol, Don Medusa, Rocky, and of course our favorite, Alma. Improved graphics, increased difficulty, and a few new tricks and techniques will keep you guessing through every fun-filled moment. A game for mental giants of all ages.",https://www.pricecharting.com/game/nes/adventures-of-lolo-2
24,nes,Adventures of Lolo 3,"September 1, 1991",Everyone,HAL Laboratory,HAL Laboratory,Puzzle,040458033120,8469,"The journey continues! The game preferred by the best and the brightest is back with a brand new installment. See if you qualify? - Seventeen levels, one hundred rooms. - Play as either Lolo or Lala. - Underwater levels with new challenges. - Lolo's Grandpa teaches you the tricks of the game. - New tactics, techniques and characters. Lolo's Grandpa teaches you the tricks of the game. - New tactics, techniques and characters.",https://www.pricecharting.com/game/nes/adventures-of-lolo-3
25,nes,Adventures of Rad Gravity,"December 1, 1990",Everyone,Activision,Interplay Productions,Action & Adventure,047875700147,12377,"GET UPSIDE DOWN... In the Greatest Space Adventure Ever Meet Rad Gravity, Super Space Explorer. Take a radical trek through interstellar space... Mix it up with weird aliends... And save the galaxy from the evil Agathos. 

-	Turvia - the Upside Down Planet. The One and Only. Stand on your head. Turn the TV upside down. Whatever it takes to win!
-	Explore 10 unforgettable worlds, including the Asteroid Belt, The Garbage Planet, the Dinosaur World and Cyberpunk City.
-	Hundreds of strange alien creatures to battle or befriend. User your ""Translator"" to speak their language.
-	Inside the mother ship. Kakos, your computer, will provide lifesaving hints and clues as you warp to the next planet.
-	Dozens of puzzles, mazes and power-ups for hours of challenging and shocking surprises.",https://www.pricecharting.com/game/nes/adventures-of-rad-gravity
26,nes,Adventures of Tom Sawyer,"August 1, 1989",Everyone,Seta,Winkysoft,Platformer,092826198962,8472,"Join Tom on a journey of action-packed adventure! Raft down a raging river, conquer the monkeys of the Dark Forest, break the spell of the terrible Haunted Mansion. And just when you think you’re safe, you better be ready for Mystery Cave – the toughest test! Tom needs your help to defeat his super-powerful enemies and advance to new worlds of adventure.",https://www.pricecharting.com/game/nes/adventures-of-tom-sawyer
27,nes,After Burner,"January 1, 1989",none,Tengen,Tengen,Other,031763104124,12177,"OWN THE SKIES. The F-14 Thunder Cat. It's the fastest, meanest set of wings ever to slice through the air. And you're flying it! The action in this super-charged game is so intense, the graphics so real, you'll sweat bullets as bogies fill the skies. Get vertigo from going vertical. The rush you feel is from pulling heavy G's as you try to evade lightning-fast missiles and tracers. Feel your adrenaline pumping as your radar locks onto multiple targets and your Sidewinders blow them out of the sky. When you feel the need for speed, go supersonic with After Burner!",https://www.pricecharting.com/game/nes/after-burner
28,nes,Air Fortress,"September 1, 1989",none,HAL Laboratory,HAL Laboratory,Shoot'em Up,040458036077,8488,A mysterious and power AIR FORTRESS is threatening the planet FARMEL. The destiny of FARMEL rests in the abilities of one specially trained person code number 82592-HAL BAILMAN. His mission: Save FARMEL from the AIR FORTRESS.,https://www.pricecharting.com/game/nes/air-fortress
29,nes,Airwolf,"June 1, 1989",none,Acclaim,Beam,Action & Adventure,"009726731069,021481103035",12178,"It takes more than guts. Deep within enemy territory, your fellow countrymen are imprisoned. Only one man in the free world would dare attempt to save them. You. Stringfellow Hawke, commander of Airwolf.™ And yet, as you strap yourself into the cockpit of your supersonic jet copter, you know this is the most dangerous assignment you have ever flown. Your mission is mapped out. Airwolf's™ heat-seeking missiles and superpowered machine guns are fired up, ready to blow the terrorists away. But can you evade radar time after time? Can you sneak behind enemy lines, find the captives and bring them to safety before you crash land or worse? Headquarters knows that you have the skill and firepower it takes. You say you've got the guts...now prove it!

-	Take on a fleet of enemy fighter jets intent on your destruction.
-	Seconds count. Refuel before your location is detected.
-	Computer readouts give you up-to-the-minute status reports.",https://www.pricecharting.com/game/nes/airwolf
30,nes,Al Unser Jr. Turbo Racing,"March 1, 1990",Everyone,Data East,Data East,Racing,013252002128,8491,"Get ready for racing action like you've never experienced it. Because Al Unser, Jr.'s Turbo Racing is so much more than just a game you drive. It's a game you design, a game where everything -- from the pit crew to the power boost, from the suspension to the speed, right down to the color of the racing machine itself -- is in your control. An entire racing season on the world's 16 toughest tracks lies ahead. Each demands its own strategy; Al Jr. will give you advice before every race. IN the pursuit of the season's championship, you can set up and modify your own car, or climb behind the wheel of Little Al's maxxed-out machine. Great graphics. Astonishing action. If you're into racing, Al Unser Jr.'s Turbo Racing puts you into it like no other game around.",https://www.pricecharting.com/game/nes/al-unser-jr-turbo-racing
31,nes,Alfred Chicken,"February 1, 1994",Everyone,Mindscape,Twilight,Platformer,050047113751,8493,"Super-Hero with a Bionic Beak! Whoa... Alfred needs your help! The Evil Meka-Chickens have raided the hen house and stolen Alfred's chick, Floella, and all the little egg-a-roonies! Now, these turkeys say they'll scramble the eggs. It's nothing to crow about! An egg-xasperated Alfred Chicken struts off to pluck his loved ones from the dangers of the Meka-Chickens' world. Remember, while Alfred is a SuperHero wannabe, he's still a ruffled-feather chicken... you gotta help! 

-	Egg-splore way out worlds and warp space
-	Fight fowl feasting fiends
-	Find fine feathered friends
-	Make Meka-Chickens mincemeat

After you play this game, who you think is ""Chicken"" will never be the same.",https://www.pricecharting.com/game/nes/alfred-chicken
32,nes,Alien 3,"March 1, 1993",Teen,LJN,Probe Software,Platformer,023582051895,8495,"The ALIENS are fast, spit acid and are right behind YOU! The motion tracker is your only warning. No time to think, no time to catch your breath... RUN! Can't see very far ahead in these air ducts. Hard to breathe. Face-huggers can be anywhere. You have the firepower... blast the ALIENS with your machine gun, flame thrower and grenade launcher. You know what you have to do... rescue the trapped prisoners and END THIS NIGHTMARE! Just keep telling yourself, ""THIS ISN'T REALLY HAPPENING... IT'S ONLY A GAME!!!"" 

-	SEARCH FOR TRAPPED PRISONERS IN A MAZE OF TUNNELS
-	THE MOTION TRACKER IS YOUR ONLY WARNING OF ALIEN ATTACK
-	FEEL THE SUSPENSE: ALIENS CAN BE LURKING ANYWHERE
-	FEEL THE DANGER: BLAST THE XENOMORPH WITH YOUR FLAME THROWER
-	FEEL THE TERROR: WHEN YOU DISCOVER WHAT'S BECOME OF THE PRISONERS",https://www.pricecharting.com/game/nes/alien-3
33,nes,Alien Syndrome,"January 1, 1989",none,Tengen,Sanritsu,Action & Adventure,031763101123,12179,"The battle between flesh and slime.

The extra-terrestrials in this game are anything but friendly. They're slimy monsters that are holding space colonists captive abroad seven alien starships.

For one or two players, this super action game challenges you to free the helpless hostages. Search each ship's deadly levels, using flamethrowers and laser cannons to vaporize alien scum. Look for maps to help you find your way.

After you've save all the captives from one ship, you must destroy its powerful leader before you can move on to the next ship.

Remember, to the aliens, you're slime. And they want you good... and dead.",https://www.pricecharting.com/game/nes/alien-syndrome
34,nes,All-Pro Basketball,"December 1, 1989",none,Vic Tokai,Aicom,Basketball,034912784598,12180,"The crowd is roaring and the pressure is on...

You're just a basket away from victory. There are only seconds remaining in the game, and you've got the ball. But you're facing a tough zone defense that's bent on keeping you from scoring.

What do you do? Pass the ball? Try to drive for a lay-up and risk a foul? Or just put everything on the line and take a shot from where you stand?

Whatever your decision, it'd better be quick. Because the ref has his hand on the whistle, and the clock is running...",https://www.pricecharting.com/game/nes/all-pro-basketball
35,nes,Alpha Mission,"October 1, 1987",Everyone,SNK,SNK,Action & Adventure,018484145001,12181,"In the galaxy of Tetranova, a fierce war between seven stars has laid waste to their planets. Having destroyed each other's homes, the seven stars have formed an alliance to seek a new home, where they can rebuild and regain their strength to go to war once again. The planet they have chosen is Earth!

You must pilot the fighter ship SYD against the deadly fleet of the Seven Stars Alliance. The fate of Earth rests in your hands!",https://www.pricecharting.com/game/nes/alpha-mission
36,nes,Alwa's Awakening,"May 4, 2022",none,Retro-Bit,Elden Pixels,Platformer,849172013803,3414193,"Use your magic staff and progress through a large interconnected world where you’ll solve puzzles, fight enemies and defeat bosses in order to help free the land of Alwa. Explore and uncover the secrets by using your platforming skills in this challenging and charming 8-bit adventure game.",https://www.pricecharting.com/game/nes/alwa%27s-awakening
37,nes,Amagon,"April 1, 1989",Everyone,Sammy,Aicom,Platformer,039471885021,12183,"Amagon, the most decorated Marine, was assigned a mission by his commander to investigate a strange, monster-infested South Pacific island, from which no man has ever returned alive.

With a machine gun as his only weapon, he took off by plane and crash-landed on the island's beachhead.

Amagon, with his unique ability to transform into the huge Megagon, there begins his mission to become first to conquer the island.

See and experience the amazing adventures of our hero, Amagon!!

His rescue ship is waiting at the other side of the island.

Good luck!",https://www.pricecharting.com/game/nes/amagon
38,nes,American Gladiators,"October 1, 1991",Everyone,GameTek,Incredible Technologies,Sports,043948511009,8507,"Welcome to the Wild World of Sports.  Fight or flight?......The American Gladiators are ready to square off, and frankly they don't believe you're up to the challenge.  But it's up to you to prove them wrong.  Nitro, Blaze, Laser, Zap, Gold, Gemini and Lace are all ready and waiting to psyche you out of your game.  You choose the order in which you'll compete including:  The Joust, The Assault, Powerball, The Wall and Human Cannonball.  Complete all 4 levels and you'll get your shot on the ultimate battlefield where only the strong survive-The Eliminator.  So if you think you're good, you better be great... 'Cause these guys are BAD.",https://www.pricecharting.com/game/nes/american-gladiators
39,nes,Anticipation,"November 1, 1988",Everyone,Nintendo,Rare,Party,"006121731069,045496630461",12184,"Bored with board games?  Tired of pursuing trivia?  Had your fill of ethical questions?  Then you're ready for ANTICIPATION.  This zany, unpredictable, totally wacked-out video board game begins with a giant connect-the-dots puzzle.  Suddenly, a video pencil starts connecting the dots and, before you know it, you're in a maddening race against the clock, trying to solve the puzzle.  Is it an Igloo?  A Penguin?  A Pineapple?  Whatever it is, you-and all your friends-will have a great time trying to guess what the pencil is drawing.  Guess right and you'll get a crack at the really tough puzzles-no dots or clues, just the pencil drawing a picture.  Think you're up to it?  Then challenge your friends.  Or take on the Computer.  Either way, this off-the-floor board game will challenge you, excite you and generally drive you crazy for years to come.",https://www.pricecharting.com/game/nes/anticipation
40,nes,Arch Rivals,"November 1, 1990",Everyone,Acclaim Entertainment,Midway,Basketball,021481104018,12185,"The full-court action between the Arch Rivals is really hot tonight. Here's Mohawk, taking it to the hoop... POW! He just got nailed in the alley with a right cross! FOUL! FOUL! FOUL!
What?! No Foul? That's right. No Fouls. This is basketball where breaking the rules is part of the rules! If you can't block a shot - knock your opponent's block off. If you can't steal the ball - steal his shorts! But don't think these tactics are enough to win. Arch Rivals still requires real B-ball skills like passing, shooting, ball handling, slam dunks, and 3 point shots.
Based on the arcade smash hit, Arch Rivals brings all of its hard-hitting ""in your face"" action into your home. Whether you're going for a fast break, dodging food on the court, or crashing the boards 'til they shatter, Arch Rivals isn't just basketball... it's a basketbrawl!",https://www.pricecharting.com/game/nes/arch-rivals
